imdb_title_id,G/B,year,date_published,month_published,duration,directors_rating,actors_rating,Comedy,Drama,Horror,Musical,Action,Crime,Animation,Adventure,Biography,Family,Thriller,Fantasy,Romance,Sci-Fi,Mystery,War,Western,Music,Sport,History
tt6847810,1,2017,2017/7/27,7,220,,6.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7433762,1,2017,2017/10/13,10,88,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8923800,1,2018,2018/12/1,12,115,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0167260,1,2003,2003/12/17,12,201,7.88,7.37,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0419781,1,2005,2005/4/22,4,90,4.6,7.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt1795369,1,2011,2011/3/17,3,130,7.63,6.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt5495122,1,2018,2019/1/30,1,80,,6.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt5691226,1,2016,2016/1/29,1,140,,6.79,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt6239540,1,2015,2015/11/3,11,79,8.8,6.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6846664,1,2017,2017/7/20,7,220,,7.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7388678,1,2017,2017/2/15,2,57,,7.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7474562,1,2017,2017/11/17,11,118,,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt7972040,1,2019,2019/6/3,6,76,,6.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8108206,1,2019,2019/10/25,10,146,,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt8176054,1,2018,2018/9/28,9,154,,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8185004,1,2017,2017/12/29,12,123,,6.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8217244,1,2018,2018/4/12,4,135,8.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt8330720,1,2018,2018/7/5,7,160,7.77,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8621438,1,2019,2019/2/15,2,134,,6.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt8866064,1,2018,2018/8/20,8,120,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9231140,1,2018,2018/11/8,11,102,,5.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9900782,1,2019,2019/10/25,10,145,,5.65,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0120737,1,2001,2001/12/19,12,178,7.88,7.52,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0367495,1,2003,2003/1/14,1,160,,7.71,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt10515086,1,2019,2019/7/25,7,130,,7.47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt10765852,1,2019,2019/10/9,10,150,7.33,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
